Datum;Reihenfolge;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Zahl6;ZZ;Zusatzzahl;Rang_1_5;Anzahl_1_5;a_1_5;Quote_1_5;Rang_2_6;Anzahl_2_6;a_2_6;Quote_2_6;Rang_3_7;Anzahl_3_7;a_3_7;Quote_3_7;Rang_4_8;Anzahl_4_8;a_4_8;Quote_4_8;
23.06.;aufsteigend;6;9;10;24;40;44;ZZ;21;6er;               1;à;       1.422.367,30;5er + ZZ;               2;à;          55.020,20;5er;              81;à;           1.482,00;4er + ZZ;             283;à;             127,20;
23.06.;;;;;;;;;;4er;           4.416;à;              45,30;3er + ZZ;           7.161;à;              12,50;3er;          73.913;à;               4,80;ZZ;         213.295;à;               1,20;
26.06.;aufsteigend;6;13;17;28;32;42;ZZ;29;6er;               3;à;         333.333,30;5er + ZZ;               3;à;          26.561,20;5er;              90;à;             965,80;4er + ZZ;             180;à;             144,80;
26.06.;;;;;;;;;;4er;           3.448;à;              42,00;3er + ZZ;           3.929;à;              16,50;3er;          51.031;à;               5,10;ZZ;         151.605;à;               1,20;
30.06.;aufsteigend;5;9;15;16;22;32;ZZ;3;6er;JP;;         680.703,30;5er + ZZ;               1;à;          93.596,70;5er;              83;à;           1.230,10;4er + ZZ;             248;à;             123,50;
30.06.;;;;;;;;;;4er;           3.923;à;              43,30;3er + ZZ;           6.386;à;              11,90;3er;          62.572;à;               4,90;ZZ;         198.369;à;               1,20;
03.07.;aufsteigend;6;16;29;31;41;44;ZZ;1;6er;DJP;;       1.451.624,30;5er + ZZ;               3;à;          35.333,80;5er;              79;à;           1.463,70;4er + ZZ;             245;à;             141,50;
03.07.;;;;;;;;;;4er;           3.755;à;              51,30;3er + ZZ;           5.134;à;              16,80;3er;          62.799;à;               5,50;ZZ;         210.917;à;               1,20;
07.07.;aufsteigend;8;19;32;33;41;42;ZZ;20;6er;3JP;;       2.432.878,90;5er + ZZ;               2;à;          67.461,20;5er;              94;à;           1.565,80;4er + ZZ;             219;à;             201,60;
07.07.;;;;;;;;;;4er;           4.968;à;              49,30;3er + ZZ;           6.441;à;              17,10;3er;          81.558;à;               5,40;ZZ;         258.354;à;               1,20;
10.07.;aufsteigend;5;28;30;35;36;45;ZZ;25;6er;               1;à;       3.523.017,30;5er + ZZ;               6;à;          24.982,30;5er;              85;à;           1.923,70;4er + ZZ;             404;à;             121,40;
10.07.;;;;;;;;;;4er;           5.261;à;              51,80;3er + ZZ;           7.968;à;              15,30;3er;          89.710;à;               5,40;ZZ;         272.043;à;               1,20;
14.07.;aufsteigend;4;12;16;22;24;33;ZZ;31;6er;JP;;         711.701,60;5er + ZZ;               4;à;          24.464,70;5er;              85;à;           1.255,90;4er + ZZ;             199;à;             160,90;
14.07.;;;;;;;;;;4er;           4.574;à;              38,80;3er + ZZ;           4.910;à;              16,30;3er;          69.245;à;               4,60;ZZ;         167.309;à;               1,20;
17.07.;aufsteigend;4;5;18;28;31;32;ZZ;33;6er;DJP;;       1.499.377,00;5er + ZZ;               2;à;          54.152,60;5er;              77;à;           1.534,40;4er + ZZ;             219;à;             161,80;
17.07.;;;;;;;;;;4er;           4.159;à;              47,30;3er + ZZ;           4.988;à;              17,70;3er;          68.578;à;               5,10;ZZ;         215.769;à;               1,20;
21.07.;aufsteigend;7;13;17;20;42;45;ZZ;5;6er;               2;à;       1.258.116,80;5er + ZZ;               2;à;          69.908,80;5er;             118;à;           1.292,60;4er + ZZ;             359;à;             127,40;
21.07.;;;;;;;;;;4er;           5.629;à;              45,10;3er + ZZ;           8.349;à;              13,70;3er;          89.516;à;               5,10;ZZ;         286.523;à;               1,20;
24.07.;aufsteigend;4;6;7;29;30;37;ZZ;16;6er;JP;;         610.419,60;5er + ZZ;               4;à;          20.983,10;5er;              63;à;           1.453,30;4er + ZZ;             186;à;             147,60;
24.07.;;;;;;;;;;4er;           3.442;à;              44,30;3er + ZZ;           4.817;à;              14,20;3er;          55.902;à;               4,90;ZZ;         153.108;à;               1,20;
28.07.;aufsteigend;3;7;9;13;26;39;ZZ;8;6er;               3;à;         491.217,70;5er + ZZ;               1;à;         118.694,60;5er;             199;à;             650,60;4er + ZZ;             337;à;             115,20;
28.07.;;;;;;;;;;4er;           7.465;à;              28,90;3er + ZZ;           7.840;à;              12,30;3er;          97.361;à;               4,00;ZZ;         246.490;à;               1,20;
31.07.;aufsteigend;13;22;33;37;39;41;ZZ;11;6er;JP;;         596.082,90;5er + ZZ;               1;à;          81.961,40;5er;              83;à;           1.077,20;4er + ZZ;             189;à;             141,90;
31.07.;;;;;;;;;;4er;           3.216;à;              46,30;3er + ZZ;           4.399;à;              15,20;3er;          49.586;à;               5,40;ZZ;         186.421;à;               1,20;
04.08.;aufsteigend;12;13;16;17;22;41;ZZ;40;6er;DJP;;       1.466.077,70;5er + ZZ;               1;à;         119.624,20;5er;              83;à;           1.572,20;4er + ZZ;             221;à;             177,10;
04.08.;;;;;;;;;;4er;           4.200;à;              51,70;3er + ZZ;           5.442;à;              17,90;3er;          75.084;à;               5,20;ZZ;         215.328;à;               1,20;
07.08.;aufsteigend;3;4;9;19;20;25;ZZ;37;6er;3JP;;       2.361.025,80;5er + ZZ;               2;à;          61.527,60;5er;             128;à;           1.048,70;4er + ZZ;             249;à;             161,70;
07.08.;;;;;;;;;;4er;           6.222;à;              35,90;3er + ZZ;           5.641;à;              17,80;3er;          90.322;à;               4,40;ZZ;         207.432;à;               1,20;
